tr,ta,tc,to,tu,co,cu,cm,cf
0.0,1,2.0,809.0,912.0,218.0,109.0,134.0,33.0
0.1,1,54.0,540.0,637.0,156.0,93.0,151.0,44.0
0.2,1,47.0,517.0,625.0,156.0,87.0,151.0,55.0
0.30000000000000004,1,47.0,517.0,625.0,156.0,87.0,151.0,55.0
0.4,1,47.0,517.0,625.0,156.0,87.0,151.0,55.0
0.5,1,3.0,515.0,625.0,154.0,87.0,151.0,57.0
0.6,1,3.0,515.0,625.0,154.0,87.0,151.0,57.0
0.7,1,3.0,515.0,625.0,154.0,87.0,151.0,57.0
0.7999999999999999,1,3.0,515.0,625.0,154.0,87.0,151.0,57.0
0.8999999999999999,1,3.0,515.0,625.0,154.0,87.0,151.0,57.0
0.9999999999999999,1,3.0,515.0,625.0,154.0,87.0,151.0,57.0
