tr,ta,tc,to,tu,co,cu,cm,cf
0.0,1,2.0,867.0,975.0,231.0,117.0,135.0,34.0
0.1,1,54.0,594.0,697.0,169.0,100.0,152.0,46.0
0.2,1,47.0,571.0,685.0,169.0,94.0,152.0,57.0
0.30000000000000004,1,47.0,571.0,685.0,169.0,94.0,152.0,57.0
0.4,1,47.0,571.0,685.0,169.0,94.0,152.0,57.0
0.5,1,3.0,569.0,685.0,167.0,94.0,152.0,59.0
0.6,1,3.0,569.0,685.0,167.0,94.0,152.0,59.0
0.7,1,3.0,569.0,685.0,167.0,94.0,152.0,59.0
0.7999999999999999,1,3.0,569.0,685.0,167.0,94.0,152.0,59.0
0.8999999999999999,1,3.0,569.0,685.0,167.0,94.0,152.0,59.0
0.9999999999999999,1,3.0,569.0,685.0,167.0,94.0,152.0,59.0
