tr,ta,tc,to,tu,co,cu,cm,cf
0.0,1,2.0,667.0,741.0,165.0,86.0,131.0,33.0
0.1,1,3.0,478.0,549.0,139.0,78.0,141.0,40.0
0.2,1,3.0,457.0,537.0,139.0,72.0,141.0,49.0
0.30000000000000004,1,3.0,457.0,537.0,139.0,72.0,141.0,49.0
0.4,1,3.0,457.0,537.0,139.0,72.0,141.0,49.0
0.5,1,3.0,457.0,537.0,139.0,72.0,141.0,49.0
0.6,1,3.0,457.0,537.0,139.0,72.0,141.0,49.0
0.7,1,3.0,457.0,537.0,139.0,72.0,141.0,49.0
0.7999999999999999,1,3.0,457.0,537.0,139.0,72.0,141.0,49.0
0.8999999999999999,1,3.0,457.0,537.0,139.0,72.0,141.0,49.0
0.9999999999999999,1,3.0,457.0,537.0,139.0,72.0,141.0,49.0
