tr,ta,tc,to,tu,co,cu,cm,cf
0.0,1,2.0,714.0,809.0,190.0,89.0,133.0,33.0
0.1,1,47.0,481.0,573.0,142.0,79.0,143.0,40.0
0.2,1,47.0,460.0,561.0,142.0,73.0,143.0,49.0
0.30000000000000004,1,47.0,460.0,561.0,142.0,73.0,143.0,49.0
0.4,1,47.0,460.0,561.0,142.0,73.0,143.0,49.0
0.5,1,3.0,458.0,561.0,140.0,73.0,143.0,51.0
0.6,1,3.0,458.0,561.0,140.0,73.0,143.0,51.0
0.7,1,3.0,458.0,561.0,140.0,73.0,143.0,51.0
0.7999999999999999,1,3.0,458.0,561.0,140.0,73.0,143.0,51.0
0.8999999999999999,1,3.0,458.0,561.0,140.0,73.0,143.0,51.0
0.9999999999999999,1,3.0,458.0,561.0,140.0,73.0,143.0,51.0
