tr,ta,tc,to,tu,co,cu,cm,cf
0.0,1,2.0,875.0,988.0,236.0,120.0,157.0,58.0
0.1,1,54.0,594.0,702.0,169.0,101.0,176.0,72.0
0.2,1,47.0,571.0,690.0,169.0,95.0,176.0,83.0
0.30000000000000004,1,47.0,571.0,690.0,169.0,95.0,176.0,83.0
0.4,1,47.0,571.0,690.0,169.0,95.0,176.0,83.0
0.5,1,3.0,569.0,690.0,167.0,95.0,176.0,85.0
0.6,1,3.0,569.0,690.0,167.0,95.0,176.0,85.0
0.7,1,3.0,569.0,690.0,167.0,95.0,176.0,85.0
0.7999999999999999,1,3.0,569.0,690.0,167.0,95.0,176.0,85.0
0.8999999999999999,1,3.0,569.0,690.0,167.0,95.0,176.0,85.0
0.9999999999999999,1,3.0,569.0,690.0,167.0,95.0,176.0,85.0
