tr,ta,tc,to,tu,co,cu,cm,cf
0.0,1,1.0,250.0,264.0,47.0,33.0,120.0,1.0
0.1,1,2.0,176.0,187.0,43.0,32.0,123.0,1.0
0.2,1,2.0,158.0,175.0,43.0,26.0,123.0,7.0
0.30000000000000004,1,2.0,158.0,175.0,43.0,26.0,123.0,7.0
0.4,1,2.0,158.0,175.0,43.0,26.0,123.0,7.0
0.5,1,2.0,158.0,175.0,43.0,26.0,123.0,7.0
0.6,1,2.0,158.0,175.0,43.0,26.0,123.0,7.0
0.7,1,2.0,158.0,175.0,43.0,26.0,123.0,7.0
0.7999999999999999,1,2.0,158.0,175.0,43.0,26.0,123.0,7.0
0.8999999999999999,1,2.0,158.0,175.0,43.0,26.0,123.0,7.0
0.9999999999999999,1,2.0,158.0,175.0,43.0,26.0,123.0,7.0
