tr,ta,tc,to,tu,co,cu,cm,cf
0.0,1,0.0,19.0,25.0,11.0,4.0,89.0,0.0
0.1,1,1.0,17.0,23.0,10.0,4.0,89.0,0.0
0.2,1,1.0,17.0,23.0,10.0,4.0,89.0,0.0
0.30000000000000004,1,1.0,17.0,23.0,10.0,4.0,89.0,0.0
0.4,1,1.0,17.0,23.0,10.0,4.0,89.0,0.0
0.5,1,1.0,17.0,23.0,10.0,4.0,89.0,0.0
0.6,1,1.0,17.0,23.0,10.0,4.0,89.0,0.0
0.7,1,1.0,17.0,23.0,10.0,4.0,89.0,0.0
0.7999999999999999,1,1.0,17.0,23.0,10.0,4.0,89.0,0.0
0.8999999999999999,1,1.0,17.0,23.0,10.0,4.0,89.0,0.0
0.9999999999999999,1,1.0,17.0,23.0,10.0,4.0,89.0,0.0
