tr,ta,tc,to,tu,co,cu,cm,cf
0.0,1,2.0,513.0,551.0,112.0,70.0,128.0,33.0
0.1,1,3.0,345.0,384.0,90.0,62.0,134.0,40.0
0.2,1,3.0,324.0,372.0,90.0,56.0,134.0,49.0
0.30000000000000004,1,3.0,324.0,372.0,90.0,56.0,134.0,49.0
0.4,1,3.0,324.0,372.0,90.0,56.0,134.0,49.0
0.5,1,3.0,324.0,372.0,90.0,56.0,134.0,49.0
0.6,1,3.0,324.0,372.0,90.0,56.0,134.0,49.0
0.7,1,3.0,324.0,372.0,90.0,56.0,134.0,49.0
0.7999999999999999,1,3.0,324.0,372.0,90.0,56.0,134.0,49.0
0.8999999999999999,1,3.0,324.0,372.0,90.0,56.0,134.0,49.0
0.9999999999999999,1,3.0,324.0,372.0,90.0,56.0,134.0,49.0
