tr,ta,tc,to,tu,co,cu,cm,cf
0.0,1,2.0,538.0,598.0,137.0,72.0,130.0,33.0
0.1,1,3.0,370.0,431.0,115.0,64.0,136.0,40.0
0.2,1,3.0,349.0,419.0,115.0,58.0,136.0,49.0
0.30000000000000004,1,3.0,349.0,419.0,115.0,58.0,136.0,49.0
0.4,1,3.0,349.0,419.0,115.0,58.0,136.0,49.0
0.5,1,3.0,349.0,419.0,115.0,58.0,136.0,49.0
0.6,1,3.0,349.0,419.0,115.0,58.0,136.0,49.0
0.7,1,3.0,349.0,419.0,115.0,58.0,136.0,49.0
0.7999999999999999,1,3.0,349.0,419.0,115.0,58.0,136.0,49.0
0.8999999999999999,1,3.0,349.0,419.0,115.0,58.0,136.0,49.0
0.9999999999999999,1,3.0,349.0,419.0,115.0,58.0,136.0,49.0
