tr,ta,tc,to,tu,co,cu,cm,cf
0.0,1,2.0,396.0,411.0,74.0,56.0,122.0,30.0
0.1,1,3.0,235.0,252.0,54.0,48.0,126.0,36.0
0.2,1,3.0,214.0,240.0,54.0,42.0,126.0,45.0
0.30000000000000004,1,3.0,214.0,240.0,54.0,42.0,126.0,45.0
0.4,1,3.0,214.0,240.0,54.0,42.0,126.0,45.0
0.5,1,3.0,214.0,240.0,54.0,42.0,126.0,45.0
0.6,1,3.0,214.0,240.0,54.0,42.0,126.0,45.0
0.7,1,3.0,214.0,240.0,54.0,42.0,126.0,45.0
0.7999999999999999,1,3.0,214.0,240.0,54.0,42.0,126.0,45.0
0.8999999999999999,1,3.0,214.0,240.0,54.0,42.0,126.0,45.0
0.9999999999999999,1,3.0,214.0,240.0,54.0,42.0,126.0,45.0
