tr,ta,tc,to,tu,co,cu,cm,cf
0.0,1,1.0,34.0,21.5,11.5,3.5,2.5,4.0
0.1,1,2.0,28.5,21.5,10.5,3.5,2.5,9.5
0.2,1,1.5,28.5,21.5,10.5,3.5,3.0,10.0
0.30000000000000004,1,1.5,28.5,21.5,10.5,3.5,3.0,10.0
0.4,1,1.5,28.5,21.5,10.5,3.5,3.0,10.0
0.5,1,1.5,28.5,21.5,10.5,3.5,3.0,10.0
0.6,1,1.5,28.5,21.5,10.5,3.5,3.0,10.0
0.7,1,1.5,28.5,21.5,10.5,3.5,3.0,10.0
0.7999999999999999,1,1.5,28.5,21.5,10.5,3.5,3.0,10.0
0.8999999999999999,1,1.5,28.5,21.5,10.5,3.5,3.0,10.0
0.9999999999999999,1,1.5,28.5,21.5,10.5,3.5,3.0,10.0
