tr,ta,tc,to,tu,co,cu,cm,cf
0,1,0,8,13,5,3,2,1
0.1,1,0,0,5,0,1,4,3
0.2,1,0,0,5,0,1,4,3
0.30000000000000004,1,0,0,5,0,1,4,3
0.4,1,0,0,5,0,1,4,3
0.5,1,0,0,5,0,1,4,3
0.6,1,0,0,5,0,1,4,3
0.7,1,0,0,5,0,1,4,3
0.7999999999999999,1,0,0,5,0,1,4,3
0.8999999999999999,1,0,0,5,0,1,4,3
0.9999999999999999,1,0,0,5,0,1,4,3
0,1,0,0,0,0,0,20,23
0.1,1,0,0,0,0,0,20,23
0.2,1,0,0,0,0,0,20,23
0.30000000000000004,1,0,0,0,0,0,20,23
0.4,1,0,0,0,0,0,20,23
0.5,1,0,0,0,0,0,20,23
0.6,1,0,0,0,0,0,20,23
0.7,1,0,0,0,0,0,20,23
0.7999999999999999,1,0,0,0,0,0,20,23
0.8999999999999999,1,0,0,0,0,0,20,23
0.9999999999999999,1,0,0,0,0,0,20,23
