tr,ta,tc,to,tu,co,cu,cm,cf
0,1,0,28,39,17,6,1,0
0.1,1,7,5,13,4,2,7,3
0.2,1,0,4,13,4,2,7,4
0.30000000000000004,1,0,4,13,4,2,7,4
0.4,1,0,4,13,4,2,7,4
0.5,1,0,4,13,4,2,7,4
0.6,1,0,4,13,4,2,7,4
0.7,1,0,4,13,4,2,7,4
0.7999999999999999,1,0,4,13,4,2,7,4
0.8999999999999999,1,0,4,13,4,2,7,4
0.9999999999999999,1,0,4,13,4,2,7,4
0,1,0,67,64,11,14,0,0
0.1,1,0,54,51,10,12,1,1
0.2,1,0,53,51,10,12,1,2
0.30000000000000004,1,0,53,51,10,12,1,2
0.4,1,0,53,51,10,12,1,2
0.5,1,0,53,51,10,12,1,2
0.6,1,0,53,51,10,12,1,2
0.7,1,0,53,51,10,12,1,2
0.7999999999999999,1,0,53,51,10,12,1,2
0.8999999999999999,1,0,53,51,10,12,1,2
0.9999999999999999,1,0,53,51,10,12,1,2
