tr,ta,tc,to,tu,co,cu,cm,cf
0,1,0,0,0,0,0,18,0
0.1,1,0,0,0,0,0,18,0
0.2,1,0,0,0,0,0,18,0
0.30000000000000004,1,0,0,0,0,0,18,0
0.4,1,0,0,0,0,0,18,0
0.5,1,0,0,0,0,0,18,0
0.6,1,0,0,0,0,0,18,0
0.7,1,0,0,0,0,0,18,0
0.7999999999999999,1,0,0,0,0,0,18,0
0.8999999999999999,1,0,0,0,0,0,18,0
0.9999999999999999,1,0,0,0,0,0,18,0
0,1,0,19,25,11,4,0,0
0.1,1,1,17,23,10,4,0,0
0.2,1,1,17,23,10,4,0,0
0.30000000000000004,1,1,17,23,10,4,0,0
0.4,1,1,17,23,10,4,0,0
0.5,1,1,17,23,10,4,0,0
0.6,1,1,17,23,10,4,0,0
0.7,1,1,17,23,10,4,0,0
0.7999999999999999,1,1,17,23,10,4,0,0
0.8999999999999999,1,1,17,23,10,4,0,0
0.9999999999999999,1,1,17,23,10,4,0,0
