tr,ta,tc,to,tu,co,cu,cm,cf
0,1,0,0,0,0,0,10,21
0,1,0,0,0,0,0,20,98
0.1,1,0,0,0,0,0,10,21
0.1,1,0,0,0,0,0,20,98
0.2,1,0,0,0,0,0,10,21
0.2,1,0,0,0,0,0,20,98
0.30000000000000004,1,0,0,0,0,0,10,21
0.30000000000000004,1,0,0,0,0,0,20,98
0.4,1,0,0,0,0,0,10,21
0.4,1,0,0,0,0,0,20,98
0.5,1,0,0,0,0,0,10,21
0.5,1,0,0,0,0,0,20,98
0.6,1,0,0,0,0,0,10,21
0.6,1,0,0,0,0,0,20,98
0.7,1,0,0,0,0,0,10,21
0.7,1,0,0,0,0,0,20,98
0.7999999999999999,1,0,0,0,0,0,10,21
0.7999999999999999,1,0,0,0,0,0,20,98
0.8999999999999999,1,0,0,0,0,0,10,21
0.8999999999999999,1,0,0,0,0,0,20,98
0.9999999999999999,1,0,0,0,0,0,10,21
0.9999999999999999,1,0,0,0,0,0,20,98
