tr,ta,tc,to,tu,co,cu,cm,cf
0,1,2,11,0,3,0,5,0
0,1,0,57,43,20,7,0,8
0.1,1,3,4,0,2,0,5,7
0.1,1,1,53,43,19,7,0,12
0.2,1,3,4,0,2,0,5,7
0.2,1,0,53,43,19,7,1,13
0.30000000000000004,1,3,4,0,2,0,5,7
0.30000000000000004,1,0,53,43,19,7,1,13
0.4,1,3,4,0,2,0,5,7
0.4,1,0,53,43,19,7,1,13
0.5,1,3,4,0,2,0,5,7
0.5,1,0,53,43,19,7,1,13
0.6,1,3,4,0,2,0,5,7
0.6,1,0,53,43,19,7,1,13
0.7,1,3,4,0,2,0,5,7
0.7,1,0,53,43,19,7,1,13
0.7999999999999999,1,3,4,0,2,0,5,7
0.7999999999999999,1,0,53,43,19,7,1,13
0.8999999999999999,1,3,4,0,2,0,5,7
0.8999999999999999,1,0,53,43,19,7,1,13
0.9999999999999999,1,3,4,0,2,0,5,7
0.9999999999999999,1,0,53,43,19,7,1,13
