1, 0, body, 0.2304784801842626, 0.0;
10, 1, script, 0.05967999905554538, 0.22575424759098897;
15, 1, div, 0.295417077367098, 0.5184013920502726;
19, 1, script, 0.15286172847777466, 1.0534676783113053;
23, 2, ul, 0.1675170793431419, 0.9981158308464294;
29, 1, div, 0.2254820237218406, 0.0;
32, 2, div, 0.5222176863890922, 8.355482982225475;
33, 3, div, 0.35775444045278476, 1.5463295561318187;
38, 4, div, 0.17614937768955616, 0.6953231090672163;
40, 5, ul, 0.17802886524638228, 1.0603867594162095;
45, 4, div, 0.23641157053457626, 3.78258512855322;
46, 4, div, 0.21998554275021548, 0.6953231090672163;
48, 5, ul, 0.21181134808139143, 1.0603867594162095;
67, 5, div, 0.23641157053457626, 3.78258512855322;
68, 6, form, 0.19281699295906166, 0.7151817168423503;
77, 1, div, 0.2630169903639559, 4.208271845823295;
78, 2, div, 0.5171514757368123, 8.274423611788997;
79, 3, div, 0.5171514757368123, 8.274423611788997;
80, 4, div, 0.2888683984333243, 0.6953231090672163;
82, 5, div, 0.5276038596131014, 8.441661753809623;
83, 6, div, 0.5276038596131014, 8.441661753809623;
84, 7, div, 0.5260339807279119, 8.41654369164659;
85, 8, div, 0.3944205856195878, 0.0;
86, 9, div, 0.31905935780463746, 0.0;
87, 10, div, 0.17732088872345744, 1.616570618803805;
96, 5, div, 0.5276038596131014, 8.441661753809623;
97, 6, div, 0.19885117519057774, 0.7147532187298855;
100, 7, div, 0.5260339807279119, 8.41654369164659;
101, 8, div, 0.5260339807279119, 8.41654369164659;
102, 9, div, 0.30847712744880984, 0.0;
103, 10, div, 0.21729343462457276, 3.4766949539931646;
104, 11, dl, 0.11692763404220534, 0.37252559401006624;
111, 11, dl, 0.09808732708846774, 0.37252559401006624;
118, 11, dl, 0.09625050809961964, 0.3541574041215853;
126, 11, dl, 0.09625050809961964, 0.3541574041215853;
134, 11, dl, 0.09808732708846774, 0.37252559401006624;
141, 11, dl, 0.11692763404220534, 0.37252559401006624;
148, 11, dl, 0.09625050809961964, 0.3541574041215853;
156, 11, dl, 0.09625050809961964, 0.3541574041215853;
167, 6, div, 0.2576104504430522, 0.7147532187298855;
170, 7, div, 0.5260339807279119, 8.41654369164659;
171, 8, div, 0.5260339807279119, 8.41654369164659;
172, 9, div, 0.24729020574291133, 1.8685540484269538;
179, 9, div, 0.3798016183906405, 1.8685540484269538;
185, 9, div, 0.2630169903639559, 4.208271845823295;
186, 10, ul, 0.1849482535664997, 1.0761219987544344;
197, 6, div, 0.19594876507196854, 0.7147532187298855;
200, 7, div, 0.5260339807279119, 8.41654369164659;
201, 8, div, 0.5260339807279119, 8.41654369164659;
202, 9, div, 0.1774788800489993, 0.5516446184042563;
206, 10, ul, 0.14257799285942757, 1.0761219987544344;
