1, 0, body, 0.42661691536242397, 0;
2, 1, comment, 0, 0;
3, 1, script, 0.43074789822893467, 0.0;
3, 1, text, 0.19855508874019848, 0.0;
4, 1, comment, 0, 0;
5, 1, script, 0.43074789822893467, 0.0;
5, 1, text, 0.19855508874019848, 0.0;
6, 1, script, 0.23219280948873622, 0.0;
7, 1, script, 0.23219280948873622, 0.0;
8, 1, script, 0.43074789822893467, 0.0;
8, 1, text, 0.19855508874019848, 0.0;
9, 1, comment, 0, 0;
10, 1, script, 0.36456286864886855, 0.0;
10, 1, text, 0.19855508874019848, 0.0;
11, 2, p, 0.05643856189774724, 0.9030169903639559;
12, 3, i, 0, 0;
12, 1, text, 0.19855508874019848, 0.0;
13, 1, noscript, 0.5928771237954945, 0.0;
13, 1, text, 1, 0;
14, 1, comment, 0, 0;
15, 1, div, 0.5260339807279119, 8.41654369164659;
16, 2, div, 0.2592006960251363, 4.147211136402181;
17, 3, comment, 0, 0;
18, 3, comment, 0, 0;
19, 1, script, 0.23219280948873622, 0.0;
20, 2, h2, 0.2317743696890721, 2.781292436268865;
20, 2, text, 0.1835336213432141, 0.0;
21, 2, p, 0.28929025814448006, 4.628644130311681;
21, 2, text, 1, 0;
22, 3, a, 0.3820887100834126, 0.0;
22, 3, text, 0.1835336213432141, 0.0;
22, 2, text, 0.1835336213432141, 0.0;
23, 2, ul, 0.07588340533580352, 1.2141344853728564;
24, 3, li, 0.19132207065618612, 1.9132207065618612;
25, 4, button, 0.39711017748039695, 0.0;
25, 4, text, 0.25, 0.0;
26, 3, li, 0.19132207065618612, 1.9132207065618612;
27, 4, a, 0.41584852336477124, 0.0;
27, 4, text, 0.25, 0.0;
28, 1, script, 0.43074789822893467, 0.0;
28, 1, text, 0.19855508874019848, 0.0;
29, 1, div, 0.3945254855459339, 6.312407768734943;
30, 2, span, 0.05643856189774724, 0.0;
31, 3, span, 0.05643856189774724, 0.0;
32, 2, div, 0.5222176863890922, 8.355482982225475;
33, 3, div, 0.5222176863890922, 8.355482982225475;
34, 4, div, 0.23641157053457626, 3.78258512855322;
35, 5, a, 0.21729343462457276, 0.0;
36, 6, abbr, 0, 0;
37, 7, img, 0.16609640474436813, 0.0;
38, 4, div, 0.23641157053457626, 3.78258512855322;
39, 5, h2, 0.2317743696890721, 2.781292436268865;
39, 5, text, 0.25, 0.0;
40, 5, ul, 0.07588340533580352, 1.2141344853728564;
41, 6, li, 0.19855508874019848, 1.9855508874019847;
42, 7, a, 0.4511992300525707, 0.0;
42, 7, text, 0.21729343462457276, 0.0;
43, 6, li, 0.19855508874019848, 1.9855508874019847;
44, 7, a, 0.4511992300525707, 0.0;
44, 7, text, 0.21729343462457276, 0.0;
45, 4, div, 0.23641157053457626, 3.78258512855322;
46, 4, div, 0.3240839006558949, 5.185342410494318;
47, 5, h2, 0.2317743696890721, 2.781292436268865;
47, 5, text, 0.25, 0.0;
48, 5, ul, 0.07588340533580352, 1.2141344853728564;
49, 6, li, 0.19855508874019848, 1.9855508874019847;
50, 7, a, 0.4511992300525707, 0.0;
50, 7, text, 0.21729343462457276, 0.0;
51, 6, li, 0.19855508874019848, 1.9855508874019847;
52, 7, a, 0.4511992300525707, 0.0;
52, 7, text, 0.21729343462457276, 0.0;
53, 6, li, 0.19855508874019848, 1.9855508874019847;
54, 7, a, 0.4511992300525707, 0.0;
54, 7, text, 0.21729343462457276, 0.0;
55, 6, li, 0.19855508874019848, 1.9855508874019847;
56, 7, a, 0.4511992300525707, 0.0;
56, 7, text, 0.21729343462457276, 0.0;
57, 6, li, 0.19855508874019848, 1.9855508874019847;
58, 7, a, 0.4511992300525707, 0.0;
58, 7, text, 0.21729343462457276, 0.0;
59, 6, li, 0.19855508874019848, 1.9855508874019847;
60, 7, a, 0.4511992300525707, 0.0;
60, 7, text, 0.21729343462457276, 0.0;
61, 6, li, 0.19855508874019848, 1.9855508874019847;
62, 7, a, 0.4511992300525707, 0.0;
62, 7, text, 0.21729343462457276, 0.0;
63, 6, li, 0.19855508874019848, 1.9855508874019847;
64, 7, a, 0.4511992300525707, 0.0;
64, 7, text, 0.21729343462457276, 0.0;
65, 6, li, 0.19855508874019848, 1.9855508874019847;
66, 7, a, 0.4511992300525707, 0.0;
66, 7, text, 0.21729343462457276, 0.0;
67, 5, div, 0.23641157053457626, 3.78258512855322;
68, 6, form, 0.29623627131282954, 2.9623627131282952;
69, 7, div, 0.23641157053457626, 3.78258512855322;
70, 8, input, 0.07588340533580352, 0.0;
71, 8, input, 0.07588340533580352, 0.0;
