1, 0, body, 0.43098289503546466, 0;
2, 1, comment, 0, 0;
3, 1, script, 0.43496665927477474, 0.0;
4, 1, text, 0.19855508874019848, 0.0;
5, 1, comment, 0, 0;
6, 1, script, 0.43496665927477474, 0.0;
7, 1, text, 0.19855508874019848, 0.0;
8, 1, script, 0.23641157053457626, 0.0;
9, 1, script, 0.23641157053457626, 0.0;
10, 1, script, 0.43496665927477474, 0.0;
11, 1, text, 0.19855508874019848, 0.0;
12, 1, comment, 0, 0;
13, 1, script, 0.36878162969470857, 0.0;
14, 1, text, 0.19855508874019848, 0.0;
15, 2, p, 0.05643856189774724, 0.5643856189774724;
16, 3, i, 0, 0;
17, 1, text, 0.19855508874019848, 0.0;
18, 1, noscript, 0.5928771237954945, 0.0;
19, 1, text, 1, 0;
20, 1, comment, 0, 0;
21, 1, div, 0.5237945626102333, 5.2379456261023325;
22, 2, div, 0.26178215854061476, 2.6178215854061477;
23, 3, comment, 0, 0;
24, 3, comment, 0, 0;
25, 1, script, 0.23641157053457626, 0.0;
26, 2, h2, 0.2317743696890721, 1.4485898105567008;
27, 2, text, 0.1835336213432141, 0.0;
28, 2, p, 0.28929025814448006, 2.8929025814448006;
29, 2, text, 1, 0;
30, 3, a, 0.38987715939638456, 0.0;
31, 3, text, 0.1835336213432141, 0.0;
32, 2, text, 0.1835336213432141, 0.0;
33, 2, ul, 0.07588340533580352, 0.7588340533580352;
34, 3, li, 0.19132207065618612, 1.1957629416011633;
35, 4, button, 0.39711017748039695, 0.0;
36, 4, text, 0.25, 0.0;
37, 3, li, 0.19132207065618612, 1.1957629416011633;
38, 4, a, 0.41584852336477124, 0.0;
39, 4, text, 0.25, 0.0;
40, 1, script, 0.43496665927477474, 0.0;
41, 1, text, 0.19855508874019848, 0.0;
42, 1, div, 0.392845921957675, 3.92845921957675;
43, 2, span, 0.05643856189774724, 0.0;
44, 3, span, 0.05643856189774724, 0.0;
45, 2, div, 0.5236794398457314, 5.236794398457314;
46, 3, div, 0.5236794398457314, 5.236794398457314;
47, 4, div, 0.23219280948873622, 2.321928094887362;
48, 5, a, 0.21729343462457276, 0.0;
49, 6, abbr, 0, 0;
50, 7, img, 0.17514335141255852, 0.0;
51, 4, div, 0.23219280948873622, 2.321928094887362;
52, 5, h2, 0.2317743696890721, 1.4485898105567008;
53, 5, text, 0.25, 0.0;
54, 5, ul, 0.07588340533580352, 0.7588340533580352;
55, 6, li, 0.19855508874019848, 1.2409693046262404;
56, 7, a, 0.45356586156771805, 0.0;
